,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2372,2010-04-09T20,67.78,33.01,10.0,0.27,0.22,1025.13,5.87,112.0,,clear-day,Clear,2010,04
2373,2010-04-09T21,59.34,35.55,10.0,0.41,0.0,1020.3,5.71,281.0,,clear-night,Clear,2010,04
2374,2010-04-09T22,57.21,36.33,10.0,0.45,0.0,1021.13,5.7,280.0,,clear-night,Clear,2010,04
2375,2010-04-09T23,54.84,36.56,10.0,0.5,0.0,1021.33,5.71,290.0,,clear-night,Clear,2010,04
2376,2010-04-10T00,52.13,36.56,10.0,0.55,0.0,1021.28,6.71,309.0,,clear-night,Clear,2010,04
2377,2010-04-10T01,50.62,35.86,10.0,0.57,0.21,1021.98,7.66,310.0,,clear-night,Clear,2010,04
2378,2010-04-10T02,48.69,35.62,9.99,0.6,0.21,1022.74,6.26,313.0,,clear-night,Clear,2010,04
2379,2010-04-10T03,47.4,35.76,9.92,0.64,0.21,1022.93,5.81,321.0,,clear-night,Clear,2010,04
2380,2010-04-10T04,46.97,35.13,9.97,0.63,0.21,1022.75,2.88,335.0,,clear-night,Clear,2010,04
2381,2010-04-10T05,45.98,34.98,9.97,0.65,0.21,1023.3,5.68,340.0,,clear-night,Clear,2010,04
